n,Multiplicand,Multiplier,Product,Result(Part 1),Result(Part 2),PrimitiveOperations(Part 1),PrimitiveOperations(Part 2)
35,16780140639966405522915111261517854,87303431905234828322905179898590189,1464963865721570658342031696263554201855537480811384117009222852734406,1646292716603619672520226005055281156973778209130120899905810232968812,1464963865721570658342031696263554201855537480811384117009222852734406,15865,14948
36,471584179514552118400638870244966698,881941976410923897356528862241555437,415909883325188025035046100562490167317047429478327807447046903785837026,346404584075039247777130127825223551470794150201315743885282266033741224,415909883325188025035046100562490167317047429478327807447046903785837026,16750,16172
37,4995848343855091544244397756694830287,7654716093182634298252102313884271496,38241800716807380160169715218474601616470062539496105270426735424351599352,34679804760892743692919131674399404432429565052438186921997626517460710729,38241800716807380160169715218474601616470062539496105270426735424351599352,17659,16427
38,63844619947143631379184729897726443909,29704697117002483761155053223415612809,1896485098080036694201163231536985750007286340930040316972119538773600430381,5798473818663000157753808868056682519286095581349205269086994954922156335928,1896485098080036694201163231536985750007286340930040316972119538773600430381,18592,17549
39,842689184354032889843840202464203258370,510824686005726123001747346272156940791,430466437998070305710005598136112327894080740360139058434815404505193365170670,166051609908190778249447408495225990885690716416564514650636098326199451235550,430466437998070305710005598136112327894080740360139058434815404505193365170670,19549,18314
40,2082168359790162437975155183580583201744,9954452415648717034680708360465345285662,20726845858900509458013139676740535083561715186223159972160793921852120256594528,5550697374814762611166446915851740254186680791399615788006138772859638734580656,20726845858900509458013139676740535083561715186223159972160793921852120256594528,20530,19181
41,10159068942820980145925224631794273650638,46686226224573063171437051947873733123984,474288590895574588093298218385759970727236114603082490561164692540160115954701792,497104920162407729099792831718954702136036535117422883860635234736324999231007632,474288590895574588093298218385759970727236114603082490561164692540160115954701792,21535,19385
42,644606927562911060465617486986338977281905,610729880596957993655526764505267890455769,393680711902468622583248173449121702121490434170790882315385670707682803867246559945,623692074854200056099064646540308052944140126138195092875466804120229833146602445480,393680711902468622583248173449121702121490434170790882315385670707682803867246559945,22564,20966
43,6259545658514687271388412143819088450871449,4683115601136721308859141962098406635028255,29314175929417763723570881561193074783438254554088042977787981431984168457843487791495,34604053898429006393266483993814946912201687133011901834072206177560225938653211668936,29314175929417763723570881561193074783438254554088042977787981431984168457843487791495,23617,20609
44,88977457241286600270465487858265224554693010,43655352259993208877523933649095250874661668,3884342239066850093615247612504276708609737585723453249785688987986936894604845354540680,7706929076476021942404909657834980540903717588667973691860420735302284168610160943918340,3884342239066850093615247612504276708609737585723453249785688987986936894604845354540680,24694,21833
45,692496909140502735005866746805074339445186432,649110860626354392438692117751318824043568158,449507264673282071942382037830070598162569039095000437924056728610040300573689482808832256,589914115250875256440554571856439684721737864244595401690332548598003463216734121573116672,449507264673282071942382037830070598162569039095000437924056728610040300573689482808832256,25795,21935
46,3909023531348230213754312418801215090072139230,2868319540185241223274178265522653361364766160,11212328578010043567284365365505884031720459640935416334276910531076388282759120379912456800,2410595646241096565396700307585914048965469953926306582352740272094951593889759590982694860,11212328578010043567284365365505884031720459640935416334276910531076388282759120379912456800,26920,22955
47,41404445698032002762858657133679689095576412680,76430290493731465123259861866879841607775638275,3164553812432516037551882992142111741898420696662013140475688972949706946856295575621803327000,2371798097548073514111745635306865822302309919322892637932599309019818988072877772952078761560,3164553812432516037551882992142111741898420696662013140475688972949706946856295575621803327000,28069,25403
48,468138364175235397225291284856670784368859910418,456911482201454267374675772586640718660915969058,213897793850670984229967738620822987453985391182727086428068803210854639471853206736559539846244,398371478618926520622846238563000613970421777606369999458183696970803211858322345720758433155372,213897793850670984229967738620822987453985391182727086428068803210854639471853206736559539846244,29242,25862
49,7039765303044067211154516907066163940084450355537,5098479613394440839074613899494244481357766925199,35892099880651714449694126109065229872624899072450943619288253823790827179801714709389434834476863,69801361519876797532705354716104307197273158234503874426113409822159370393964966921199400266436985,35892099880651714449694126109065229872624899072450943619288253823790827179801714709389434834476863,30439,24995
50,79829466607950129546666977956576357743496121026499,33392247230167702681267966359968842362286357357759,2665685285225087824927176374627417954637938111923574169438097149988221754421447644434851936462255741,7645697129821712745365202221635317580454995741541980615443905669248392578913954796735310581096095167,2665685285225087824927176374627417954637938111923574169438097149988221754421447644434851936462255741,31660,26984
51,921100219850848691298122333844169464479290780855585,537453454161064167304531077926761092640000761983198,495048494787354233883853043575817776315407379489355883544844164864995812036927946523788368255834460830,821058757696407517062854129740637951708556581373037969640757552918689851399326260444547572767395944975,495048494787354233883853043575817776315407379489355883544844164864995812036927946523788368255834460830,32905,28208
52,7948005760806957183257495178807890938072246300308527,4770177597713515947611508007796488690390473134739992,37913399026699316659357027691831412535475784341686788767216864938034982342841453028406963388871525511784,23839044324429333135909418090224979144351894438213528025031549834972683955151741134029296427394831969898,37913399026699316659357027691831412535475784341686788767216864938034982342841453028406963388871525511784,34174,29228
53,38799065500374509552591633117912891806446694391847299,38925852312177063923548211891477823035387182813842605,1510286693518062454301115485310880415853012189881474246520016932702149619009966039534490243421314580373895,1964196166046936148122732407797787957903657156565652998706173404542134199154759040253247517618992259642917,1510286693518062454301115485310880415853012189881474246520016932702149619009966039534490243421314580373895,35467,30860
54,994976655552703413504942005588192795245856758168652424,115564153442299066952857216415643373799099913286011667,114983634893798163232742504166663772470400743900058706287341809516198810709148866324675509592671258931830808,762262244477944271437505348076028576876394761246096062878307247101587637330467850338436128338348304382548664,114983634893798163232742504166663772470400743900058706287341809516198810709148866324675509592671258931830808,36784,31727
55,4203764352290899442100944627775271917726394119676019574,4410628709932662631744037163364292893078386498098928145,18541243742005724922801907706441687154066631597033183919359804895339971824688233240237548438783768469439510230,22777251803487394536646091344694521882248657670061715338079665317301411121124586193495337471884396551208058656,18541243742005724922801907706441687154066631597033183919359804895339971824688233240237548438783768469439510230,38125,32288
56,92014289198668104181030128922965792669780817807171592054,49313416439202290818271797411134766165958519515689235703,4537538961611113471480472172480964158072492468345980725485519756675227552455291422748604159664618764500967903962,2829742915940558040563798616817222761964021714295303098503051099084616681696460688392217042832437562740676543276,4537538961611113471480472172480964158072492468345980725485519756675227552455291422748604159664618764500967903962,39490,33053
57,199841020157822225276224808832827522003001605351251912316,842732141708849818624469380298356161872658038999565441762,168412450918882952697018463224557951097017493830259960410388442837079980705373913857666248264347896921889828540792,53386442599024868022645840674187673729745059689054124998276550817649213612026719595458871234643049700462249146368,168412450918882952697018463224557951097017493830259960410388442837079980705373913857666248264347896921889828540792,40879,35399
58,8514074652892671069759287127384606516466776718631127544929,9743933837695606687835145855486865560814203920529671601695,82960580106987374835218345334606488089375549843243518703437333563938315916086081148826775843152453596286376505054655,50752924913901460267206791521506492520105006760967491618879846341638463716295253324266554593130094462438486058117991,82960580106987374835218345334606488089375549843243518703437333563938315916086081148826775843152453596286376505054655,42292,35756
59,64321213709806190790264160514166390461643717006145388682150,86088384671011826864449772503208220765837826308299456343045,5537309388356155035885269258632930332166951794130231891393081562948168235754806104689016615989901893888546770868146750,3475555970952990713939693682358401159517490035268474121017701201410435182072221031130413141325171559483941278304586200,5537309388356155035885269258632930332166951794130231891393081562948168235754806104689016615989901893888546770868146750,43729,35093
60,200384849106784983001538528361557668181499265667678432228460,670113848321278087039604905632358425564071713118157780370074,134280662380226308860523334258710962543071309351966864059322927429409223545650749859345350573285100100675714547315106040,94195524758307206952752741958188462516939667062786261819439456102091983694700507106776121232542435107330486297980422960,134280662380226308860523334258710962543071309351966864059322927429409223545650749859345350573285100100675714547315106040,45190,35909
61,9681583683441279260278277325433906423005671072139786122466463,2108934166512859636655422111469044038296800271635719846886108,20417822615962735776886823448196660703454409925269422106633323733150891680612698736946538419911748313450431599931210596004,77616157425601023894494637774150464853579350961045992587822236412880908149095417602572219561945515421686612982811403871556,20417822615962735776886823448196660703454409925269422106633323733150891680612698736946538419911748313450431599931210596004,46675,37031
62,46749611646119834795146129817786834112990403222520077751785029,33444378016298146640103184030171068130033713377067273004796755,1563511684007966014162756398705578934558113489674242721708977654068305412352328416260963462205986885905868062812180596780895,2607213688347717334317501704142698896738475437449063536822161515529807069710006227551388414554320334946044864719147095893557,1563511684007966014162756398705578934558113489674242721708977654068305412352328416260963462205986885905868062812180596780895,48184,38816
63,605093673991243714321164424713817413574901540561866540088514264,745147203578321553715959699089107051555198753086890291667096212,450883859077507813904061172797802363591963832480908355831692461622429278635061641613371869257266176148752482699204834222367968,128697837139189599158279796580302023189454442904647516801287912790473390885998389601266123157153253596509241978387325214926408,450883859077507813904061172797802363591963832480908355831692461622429278635061641613371869257266176148752482699204834222367968,49717,38663
64,4180266169681908912184970208267913942212997329033249943909408020,5076916798899183660247674424973648389264369687054904598703727165,21222863540728028708241887044742793362353878544490716500466798519537253795370150197634210748623948287919699509519852682742863300,23481696617816735749991642760623011180925284548835929184531570316595307917788130941636419631743850824925711735609302687624574100,21222863540728028708241887044742793362353878544490716500466798519537253795370150197634210748623948287919699509519852682742863300,51274,40295
65,58959754653972804928037225372930201098572161249387598589577096557,76345016752885996830811329256505664725284887291067171024287784368,4501283456803601911352263551555569171406095268798832629306205757652193840901119814732532369600253871196481106836819700487931220976,5091102779819637870912423941938684461072390038396736709238283113824102680741428066611830111919387450829116518420879955542885514419,4501283456803601911352263551555569171406095268798832629306205757652193840901119814732532369600253871196481106836819700487931220976,52855,40703
66,332114834350398256782618942091230738097554114823882894831594848458,805346973921496296120244888529422151184923858875396939411258994320,267467676838532247184839555011106338272362348924132585552983041412505663927000200466597752132373198372063645038194093200529882758560,7804649492412052468677609581850676552546492039532314193353258065738428755194666706581192245085040238072158153226563040585323510664,267467676838532247184839555011106338272362348924132585552983041412505663927000200466597752132373198372063645038194093200529882758560,54460,42539
67,7047507583914015367238555785245350349268590134512129577547872331690,2365208016673587898592344043800552084640172929994432328564975459772,16668821435041337625102065292454080543571633416720342203089179716615525100767664901089253897400695465458847767245224173256915435774680,19588870067690200915019315112693224523107576584559553092632601100983024465489456885872272677488787603386872036376447669563426125878080,16668821435041337625102065292454080543571633416720342203089179716615525100767664901089253897400695465458847767245224173256915435774680,56089,43712
68,85515096188169002006319722495910939647088071403172115187748109348037,47889285064775631346330121607572319017279533354096033042901104549039,4095256818696933310477012493459030871124240233422687456727238644753509844943942593778888377449797484495170028806894152730541741184886443,7960988552179026041516462590725410143194580648570196078193916646353820161926094520459262542470308806827638141267633978828315221431210338,4095256818696933310477012493459030871124240233422687456727238644753509844943942593778888377449797484495170028806894152730541741184886443,57742,44324
69,560739892153673235170454938046340855183495828661783913379916675610532,486342658630069171852710919060541473436511377498359725019691461089892,272711729949955705130301466319686938065164395881940542295508682553475117698957631545140833407496810999001741153556021566281911871233942544,167650105027863125262462999257727463429574851031812688074236820897100912338039689850092867586358976068725161016595780600150636946868879888,272711729949955705130301466319686938065164395881940542295508682553475117698957631545140833407496810999001741153556021566281911871233942544,59419,44987
70,6464713436765308486040955055893764374905366878214427161531396229117106,6199394185477383165723611217045294978547382070017367054896207091979394,40077306890660364004032439930448558761151588753112403468926394689747470645272776361495893853177575410079736164685273547332015345018564913764,31934339116181874226809593254059423234909707895181186709845321116444164458542278200394543052323040735832507137051430471412162285381117803096,40077306890660364004032439930448558761151588753112403468926394689747470645272776361495893853177575410079736164685273547332015345018564913764,61120,47435
71,86541371331273360506245275264322069319540962008033553107082161490898272,58881623354106332982669182800219395734766302526584122783132286270720859,5095696431275893776680528666337943012265242979347286319437276117338964460122076733694982076150793251486943496129885868596917687202492877455648,8290897664240579941278292972492905608343583130593155758060364699471528129526734436452140847212251643415269174479868199642014772661960881066720,5095696431275893776680528666337943012265242979347286319437276117338964460122076733694982076150793251486943496129885868596917687202492877455648,62845,47588
72,760956684809156476676969299767670502944839528799925933848739376655248541,829185831922156702309266646643031259541733511578439734752534601876111472,630974501750206796586228665475243810868106430798373552784809661006063963895843349795812036251836188272172714800448211319367949983059376781362352,208587113839347612233271954992207817803247850593540872231304105850418540898244498241014742344106713640464384080987331542689555025509423130967048,630974501750206796586228665475243810868106430798373552784809661006063963895843349795812036251836188272172714800448211319367949983059376781362352,64594,49475
73,3132133585702806014450655821518916809902834253880354647979867815118988088,5140267771055786073375288035801732383059776605285279972977864280266800035,16100005325229529574378887143041242772207243757338912321480720645846569459013514953134207441543844545677415759322891739832917349369816191042983080,16600579312219097787192585546164697574970928291328765561143900759003627710779447543158024028225312504867826398184969899930162305356002879370616520,16100005325229529574378887143041242772207243757338912321480720645846569459013514953134207441543844545677415759322891739832917349369816191042983080,66367,50240
74,87557607604321339552682347203462226656545222710196227147427749691702439054,54038412238300538596405548594350608834756561237669228433446540934688326080,4731474094321674577462253720456775383946306494676845180957718809475235558184574402650787618199435113463765215954030494296415966595761984836478728320,705923461236532303451761020004414908414829012733319971102953838479811975280593044809791988271626566031839020746934668349520083355259225117606839430,4731474094321674577462253720456775383946306494676845180957718809475235558184574402650787618199435113463765215954030494296415966595761984836478728320,68164,51107
75,556473879107890276904579947082394147849125933580757674142157524472004803091,574615472380083156978663967568349179370331820895851804870276337986984694576,319758500910757659135226240577969385225912010574483836145735584640162551504317995848052410367031113599420990037692748684086802341123663908175655734416,375896151941409106299082879305207156010457709828640291681411820219770327522085993010982396685914910092105370202290502191566484975315595231280610424225,319758500910757659135226240577969385225912010574483836145735584640162551504317995848052410367031113599420990037692748684086802341123663908175655734416,69985,52841
76,2848502799127720521335572551819476411586367727267772180860520239620789822306,7549137299344733799166121932322510117522222296578198780987240526031866733571,21503738728182954844340727817208467993255549684887618385063754899652948899757585995303127957146575135591050321355501694328828395377270760296013734834726,4994498384626127503876186619102585836664473325444907230730918553703305145392025946826371019105356577125313134114674594541228479390780673140265926407842,21503738728182954844340727817208467993255549684887618385063754899652948899757585995303127957146575135591050321355501694328828395377270760296013734834726,71830,52892
77,82430652738906083529778080368567618795548312706726935023310079256920787434241,48529511558775908121647255817418218908875396407498249586804108019055400548795,4000319314890185749867680630807352316556550932891004834817536657248377609302052651901403541731285976510690684494185820888506831406181980704279491374289595,4928075396182585542451635395624738383834730541438810711071100742129193147200945342610968765062514903713870942741141314081217548082084340990042983083268744,4000319314890185749867680630807352316556550932891004834817536657248377609302052651901403541731285976510690684494185820888506831406181980704279491374289595,73699,53300
78,183713269280293784739903394830926375811673733280897487039105902105656648686076,785632316739180780815811231858001031083497175521064129125154652474394115942016,144331081360406177098448708650694136606705579247355366561934941082519835544822615386829135772783261092881242292254918325127252436916106850811190411402569216,112110932833168373032236508111920439996073536612468452544623082231601396755811518943035996151771156125554419325530756119120046690006918708999643319280662612,144331081360406177098448708650694136606705579247355366561934941082519835544822615386829135772783261092881242292254918325127252436916106850811190411402569216,75592,55442
79,9976532055012344797314259796898252364532706172624766110902890636679937671884058,4164988933566988095887263598862177554026145132856379133747705641464347561629878,41552145604502738172623718490574551088033835459798532860945799913925912397894543254157417718273605251249475857133906349693190178753188408593244387973524684924,87686350665287631297480601405764448999736656337499082845145895339749098564413430373443164038383897917526481100772837590181947850846329984020499428123968663612,41552145604502738172623718490574551088033835459798532860945799913925912397894543254157417718273605251249475857133906349693190178753188408593244387973524684924,77509,59165
80,43675139228914203551267493296433507602715570053780606696199601773551234316070003,41840465916032080123416737297975703689612207902022322749453553999885582357883430,1827388174285340359231800464185526721125440425570590637053657344565130300207990382615681381271039955241978415109783797442165005753544323365284920165582793750290,150193358765688031320767670864653767360068744300363012713984365724796634383371648500350285468789919864042266481837576992571141184769445781757589870531430194442,1827388174285340359231800464185526721125440425570590637053657344565130300207990382615681381271039955241978415109783797442165005753544323365284920165582793750290,79450,57788
81,974498435505274881291717710605088704828395081251075913452721764065147114697999906,443399161811949287251145851074771217909733629746214439648260720347747387872063288,432091789490094803574986892690962278107352975850042697284108975136358009724826757886407369934823946395777218508105536067080479872760116650123520484996547050050928,859858711226760364133639993031910147907531628442306108092067044970222840611468125644273713191210547651837271814888663093884898421286869648667789728663462884625664,432091789490094803574986892690962278107352975850042697284108975136358009724826757886407369934823946395777218508105536067080479872760116650123520484996547050050928,81415,58859
82,2585131000241883142149792804890249713313274153303594173274432459076388489610457047,7139728136775419828577643867259123367881232684432519740976379124828087464387712062,18457132539677357712689277268478333322002725760430530829059742559484044105261208466544158442184959741328648979143640087630643733826414760018037748751094686454800914,6726970588490346228670408236783992160353443263359266468323968942728727551351928350937640276870128157577205961237380236855967187740418750011737545869361336976996899,18457132539677357712689277268478333322002725760430530829059742559484044105261208466544158442184959741328648979143640087630643733826414760018037748751094686454800914,83404,61307
83,62625828025728457619241308688073274116336351679633317748311122569796490843316203934,79684191372662328102604945552184152170239503373921762483302789338215259435632612286,4990288465273586202488360303566510617448692068156244947762371348213736757486166340735979314105764951430761669966113550119746012962622595807868927904345948881529933124,4272435670559762358575690499699146034414353804209875851164622584248073008398223742012898052758012268667821068241752023778164162666766975787836469645547148262522373998,4990288465273586202488360303566510617448692068156244947762371348213736757486166340735979314105764951430761669966113550119746012962622595807868927904345948881529933124,85417,58604
84,990055939062594626329547744586019727298861948697712529245698879494617867393502632392,364227580072092883259571464110294888336344074254484339258126554131135304071257661262,360605678820772296504300491230999456140215030068773829802186489816450292548531801794691217136923368318140540690967057336928221662381264907234830238384212606694444798704,259559750011059385911406587313886278207347493252515254590231554332575712654749573591463494468527020995118981123797092729835830844527914138700728809397978861685625821496,360605678820772296504300491230999456140215030068773829802186489816450292548531801794691217136923368318140540690967057336928221662381264907234830238384212606694444798704,87454,63194
85,3199301323753064321613835208770586705901756125299204680083909682545356638139425344710,6035445708572022556264099963120416965961750828359502018763601652070366851131469974539,19309209444874223033204500071889959018938947993503430051647148247850746845528038853879583725189680522480522092697207954990717863652729681976856931305697094611114998338690,29928822875892850408553474956827848477826184546436347346537961344119309895582528333730824904532304467019303130141240243362845689469237622722324369582787522925975801431260,19309209444874223033204500071889959018938947993503430051647148247850746845528038853879583725189680522480522092697207954990717863652729681976856931305697094611114998338690,89515,61817
86,72601990220987552153296167232025166780725701783853987735144993538966705051627329389374,42610240263806313079806043371607867736568278731290964843275822151217061024406032203243,3093588246946795996719325409734183586141786671442430783077174251416737463605140310782096737304052085092133252712850439605959036389358825991944505232849197773495611052539882,2485182319896433850170590805715267052564023699831153726547508858368208343545489731007036162996858764410279041925860523927837202882214017553591997705372047442660757099143376,3093588246946795996719325409734183586141786671442430783077174251416737463605140310782096737304052085092133252712850439605959036389358825991944505232849197773495611052539882,91600,62174
87,215657775589478609041161917132085446693125009466326642264479521078097754180638326969144,252469705423213131845321034417453183218972311066342202361701718751055830671871581708635,54447055075301068142451148806872143810146287649033861032798395017987753132959128990108415528692908241217412247450569445547744312732423913702214374086465673270358328443358440,115766643475974775874173901970077288669078569512043179235817257747954470578658398839244017031848558221629292560220634617410150071947347412314739962797605949995572068659040288,54447055075301068142451148806872143810146287649033861032798395017987753132959128990108415528692908241217412247450569445547744312732423913702214374086465673270358328443358440,93709,62837
88,7180585337803573772200020143165121329321943660971198945912062111936186897150622491023021,9159058407139227170917814550258185605198220811956393162992002258903829328227459964281830,65767400506390489855029628672422190400218888902195971590663937418652683894602196509722036917410051758789396989535625102819275175602339122390041309754568950569534616476262008430,2741724839180081948122850158474114718558191897196783380745564740368024494984053525220748431578997086811880442350693710689403112754564461856038375607033737149150696765566636899,65767400506390489855029628672422190400218888902195971590663937418652683894602196509722036917410051758789396989535625102819275175602339122390041309754568950569534616476262008430,95842,65999
89,74498283816853378912464549027548888400602574602712150384311052022067758827751673105404659,79134550574375502946324296501044980918178024334671982095832901616903576040029718153104451,5895388208408963792160543075010016219495481009528145484914274348528424707653021359299905070032887662497791634874937818380848867575471548350405225430952212721440250790607449037209,1150263572943723760272091290883380217159097621198752576134358868018727337600647108758321794910438884445526649153197218772036138670986749746243029998718782902993394284862289554823,5895388208408963792160543075010016219495481009528145484914274348528424707653021359299905070032887662497791634874937818380848867575471548350405225430952212721440250790607449037209,97999,68090
90,795680812451217243350321118290401495749611306242066413481592113916025376865542601574733052,581697513367507167038005344589421393736056750580494934991189099640382871583012420823878372,462845550037110905530042880526530752568501416597542441677390145282029175679430049428511034754994813255498282591484604672561154409140716677537949675602359858202920982541543216351344,217919730555084699121968228996677806698160710758037991479172027101787217334089375515282502097611106254642013467318665472085689844296438233921358558754535709245812427254366215006620,462845550037110905530042880526530752568501416597542441677390145282029175679430049428511034754994813255498282591484604672561154409140716677537949675602359858202920982541543216351344,100180,66866
91,6149434202509649612032711372181774854686030486434679391024553606133972736654870542054102564,3332208563422378714005638431080773495251072950489553221254958561312204213298171195109695768,20491197309805120637663343207149167699163006873006225300683191624693336038430347599988402430436925685859956461089676063303891050521301505039489423730573600747889423211645058308749152,53352300606361510801436702611166559007322794304644286556799553394010609980232312550412477466961308745382266759745846186038118681325043170242639115079606551512258364511186233384561812,20491197309805120637663343207149167699163006873006225300683191624693336038430347599988402430436925685859956461089676063303891050521301505039489423730573600747889423211645058308749152,102385,68294
92,76132962187778629751510173591384540591089813521387732968847498355453126137034614584242902330,89219064034394174048067889908406233505670738326437560149763404493348436425357673747695560208,6792511628559531937913719984298862606976648189818022429846444111470411298315481576967164653061528249035877257682268204918347272283340804972935288003764067326662409307941957177178484640,6106362974928613670382411256264752316916452682154733486027545655593391680310771671391166005020819082359489828791739868122645109310357930961816148349359766791903797974390154905676924340,6792511628559531937913719984298862606976648189818022429846444111470411298315481576967164653061528249035877257682268204918347272283340804972935288003764067326662409307941957177178484640,104614,69977
93,900200210894670289407875959941771847692937402940001558801999130717216172631326094705881865182,361684606293535444208171941262554289524813047909063521695893239884409548777100907383773264963,325588558862796399905650695930265188175752594425504142438800673624615262028930752661700052017828370645326893176594659281050282897033468602967076908003437078708911661400352675068330218266,332590110038461106078512074918813282937367859261532708208708143830874232850432381240794926686067260546380451834362452307146222550287481866351142816312755637082946894388316427289514476666,325588558862796399905650695930265188175752594425504142438800673624615262028930752661700052017828370645326893176594659281050282897033468602967076908003437078708911661400352675068330218266,106867,73394
94,8622677788015164027308371197978769543661506081194343359733860803470742504754643607429369463980,8776726449991074085058722370273834466013763222074724424089553680881887122118421766821204364330,75678884211823217831064036504719435387518925349083625639014714964750447552182282778629013250532969184145981609093527426552660566345523240561199526025823350326550624005718404720408731833400,2885441342462773750992559213085651131607609509527314046348288002286074120268723959018859423261868953327634390702154447538706645394410986888189579235453766867496462638536140362976581456440,75678884211823217831064036504719435387518925349083625639014714964750447552182282778629013250532969184145981609093527426552660566345523240561199526025823350326550624005718404720408731833400,109144,75026
95,92125015062687978649198699198475677604310937365134542480024639166334568221830956267771393044451,26833074475106728529669649129831888406281061922858598232805974163422680248507689106881864619113,2471997390197435692184593561585511665087056583465634380749535722852925394386599029832692507300391230042016473090414059986726318252395183021823235071028447066827248791510726015308198593191963,2873530933017539375244604938104584461574927798785689258092863371831768839881215832652322266105670644498110002499383083827546511426042365684964336000237276000069652574798319924704587868199762,2471997390197435692184593561585511665087056583465634380749535722852925394386599029832692507300391230042016473090414059986726318252395183021823235071028447066827248791510726015308198593191963,111445,76964
96,112677966815776137260581105122887132127655993621929085069596517680978051011941044072464343347960,642088335374817534135558021468376314753906337219736857482748754858307915820197765517847695572051,72349208146160629379675429229497069887131879609064679192974743048529587147066375160059650754766035369911609864555620451739114412562869564522399621454877150720681767840368684526969028743865960,16932748703672729131424133326330209541881204144178635150408970782852034038176248221556125165622073005225529298301545069333245861482036942569326072379512468358295459522144184944317917348398160,72349208146160629379675429229497069887131879609064679192974743048529587147066375160059650754766035369911609864555620451739114412562869564522399621454877150720681767840368684526969028743865960,113770,76454
